TEXT,POLARITY
My friend @timkaine brings knowledge and experience to what is already the most qualified Presidential ticket in my lifetime. 1/2,-1
NARAL president @ilyseh on Hillary Clinton's VP pick @timkaine: #ClintonKaine #ImWithHer,-1
Meet @TimKaine—Hillary's running mate and the next vice president of the United States.,-1
Trying to count the ways I hate @timkaine. Drawing a blank. Congrats to a good man and a good friend.,-1
Senator @TimKaine is a gunsense champion of the first order.,-1
Just got off the phone with Hillary. I’m honored to be her running mate. Can’t wait to hit the trail tomorrow in Miami!,-1
".@TimKaine has a big heart and showed it as a civil rights lawyer, a teacher, a mayor, a governor, and a senator.",-1
Virginia's own @timkaine has joined Team Hillary—now it's your turn,-1
.@TimKaine is a relentless optimist who believes no problem is unsolvable if you put in the work to solve it.,-1
"I'm thrilled to announce my running mate, @TimKaine, a man who's devoted his life to fighting for others. -H",-1
Donald Trump told lie after lie last night because it's all he has to offer the American people.,-1
"""The best way I can sum up what I hope this election will lead to...is: Love trumps hate."" —Hillary",-1
"""The last thing we need is somebody running for president who talks trash about America."" —Hillary in Tampa",-1
"""We need more love and kindness in this country...The last thing we need are leaders who try to divide us even more than we are."" —Hillary",-1
"""He sure doesn’t speak for me, because I know we are stronger together, and that’s what we’re going to be."" —Hillary on Trump",-1
"""He doesn’t speak for anyone who thinks our country should be standing together, not splintering apart."" —Hillary",-1
"""He doesn’t speak for immigrants...I don’t think he speaks for women. I don’t think he speaks for working families."" —Hillary on Trump",-1
"""As I recall, we had a revolution to make sure we didn't have someone who said, 'I can fix it alone.'"" —Hillary ",-1
"""I've never heard an American leader...claiming that he's all we need. That's not a democracy, my friends."" —Hillary",-1
Donald Trump’s speech last night took it to a whole new level. He offered a lot of anger and fear and resentment—but no solutions.,-1
"“I never thought I’d say these words, but Ted Cruz was right...in this election, do the right thing and vote your conscience.” —Hillary",0
"""Hard to believe they spent so much time talking about me and no time talking about jobs or education or health care."" —Hillary on the RNC",-1
"""I think after the last week...we'd better be ready to go win an election in November."" —Hillary in Tampa",-1
Hillary Clinton is paying respects at the Pulse nightclub memorial in Orlando,0
Monitoring the horrific situation in Munich. We stand with our friends in Germany as they work to bring those responsible to justice. -H,-1
"What Trump really means when he says ""Make America Great Again”",0
"Pres. Obama on RNC: ""Some of the fears that were expressed throughout the week just don't jive with the facts.""",-1
This is Trump's party. This could be Trump's America. Don't let it.,-1
"""Couldn't have said it better,"" wrote the former Ku Klux Klan Grand Wizard about Trump's convention speech.",1
"Donald Trump doesn’t want to make America great. He wants to make it afraid, because that's the only way he wins",-1
Leading criminologist on Trump's speech: “A good illustration of how to lie with statistics.” ,-1
Donald Trump doesn't represent us. His ideas don't represent us. And his values don't represent us. Add your name,-1
"One of the best produced, including the incredible stage &amp; set, in the history of conventions. Great unity! Big T.V. ratings! @KarlRove",0
Thank you Cleveland. We love you and will be back many times!,0
What a great four days in Cleveland. So proud of the great job done by the RNC and all. The police and Secret Service were fantastic!,1
President. Donald. Trump. Get your free sticker to show the world you're not about to let that happen,-1
MAKE AMERICA SAFE AND GREAT AGAIN! #RNCinCLE,1
How will you feel if you wake up on Jan. 20 to President Trump? Chip in now to help keep him out of the White House,-1
FORMAL ACCEPTANCE OF THE NOMINATION! #TrumpPence16,1
This is real—Donald Trump just accepted the @GOP nomination.RT if you agree: We can't let him become president.,-1
"""I’m with you*"" —@realDonaldTrump *Not included: women, African Americans, LGBT people, Muslims, Latinos, immigrants...",-1
History is watching,0
Donald Trump's plan mostly benefits billionaires -- and millionaires like Donald Trump.,-1
Fixed it for you. #RNCInCLE,1
We are better than this.,0
This is literally Donald Trump's plan to fight ISIS. #RNCinCLE,1
"Here's how the Republican ticket would ""protect"" LGBT Americans. #RNCinCLE ",1
Trump is right about one thing. #RNCinCLE,1
"You are not our voice, @realDonaldTrump.",-1
